connected_devices,upload_mbps,download_mbps,latency_ms,packet_loss_percent,bandwidth_usage_percent,throughput_mbps,hour,minute,day_of_week,congestion_level
27,3.54,20.61,20.27,0.41,20.6,24.79,9,36,5,Normal
31,2.86,34.62,17.67,0.58,28.4,40.02,9,37,5,Normal
10,6.02,32.86,19.17,0.25,32.98,38.11,9,38,5,Normal
80,23.7,78.97,147.75,5.3,91.39,103.74,9,39,5,High
99,18.68,85.89,165.21,7.12,89.49,106.09,9,40,5,High
76,18.66,54.31,22.84,3.43,62.96,73.72,9,41,5,Moderate
21,5.29,15.35,17.9,0.37,13.67,22.81,9,42,5,Normal
91,24.06,93.69,137.87,3.32,93.29,118.75,9,43,5,High
50,13.27,34.09,56.21,3.05,38.08,47.0,9,44,5,Moderate
32,19.36,45.92,66.04,1.65,51.27,64.81,9,45,5,Moderate
15,6.5,7.92,18.77,0.9,11.82,12.22,9,46,5,Normal
29,7.38,36.39,13.82,0.36,37.04,43.77,9,47,5,Normal
21,1.8,21.29,18.81,0.41,16.01,22.63,9,48,5,Normal
132,26.55,93.86,119.59,6.3,98.29,117.41,9,49,5,High
14,3.72,31.83,21.84,0.17,29.34,36.04,9,50,5,Normal
22,3.93,28.98,8.56,0.0,24.93,31.85,9,51,5,Normal
21,9.75,18.27,7.57,0.35,22.37,25.77,9,52,5,Normal
57,1.37,53.7,61.55,3.71,46.41,54.16,9,53,5,Moderate
14,3.84,20.69,4.35,0.46,18.41,24.3,9,54,5,Normal
82,19.91,83.52,126.51,8.52,88.29,100.76,9,55,5,High
36,22.61,44.05,74.91,2.09,54.49,64.78,9,56,5,Moderate
32,13.19,52.88,56.64,1.97,52.17,65.64,9,57,5,Moderate
17,2.26,29.32,16.86,0.1,25.54,31.8,9,58,5,Normal
52,15.53,69.73,38.32,2.6,69.9,83.71,9,59,5,Moderate
78,17.46,46.1,46.38,1.44,51.84,62.25,10,0,5,Moderate
71,16.14,65.19,83.65,4.04,67.92,79.27,10,1,5,Moderate
15,3.74,15.78,11.66,0.04,13.83,19.23,10,2,5,Normal
26,3.16,28.74,34.86,0.19,23.99,32.05,10,3,5,Normal
21,5.59,30.96,9.92,0.35,33.38,34.31,10,4,5,Normal
20,5.19,28.47,3.38,0.05,30.48,35.04,10,5,5,Normal
35,5.6,9.26,24.09,0.0,12.94,14.85,10,6,5,Normal
34,1.3,19.59,16.05,0.22,16.28,20.59,10,7,5,Normal
34,5.88,21.68,16.17,0.2,19.13,27.75,10,8,5,Normal
35,13.0,57.72,58.6,2.86,54.99,66.82,10,9,5,Moderate
27,5.34,21.94,15.23,0.47,23.7,29.15,10,10,5,Normal
89,9.25,78.87,171.92,10.05,71.67,89.41,10,11,5,High
38,20.79,62.33,44.86,1.8,69.38,84.61,10,12,5,Moderate
14,5.83,13.06,21.47,0.32,15.22,19.33,10,13,5,Normal
66,10.06,41.19,58.16,2.79,40.09,48.26,10,14,5,Moderate
28,5.07,5.7,11.29,0.2,7.69,12.09,10,15,5,Normal
86,28.7,78.41,161.63,5.27,91.35,106.78,10,16,5,High
25,2.21,25.15,21.93,0.03,24.84,30.18,10,17,5,Normal
63,11.95,53.89,68.18,1.67,56.61,66.31,10,18,5,Moderate
32,3.77,17.51,10.83,0.03,19.19,17.62,10,19,5,Normal
33,1.75,33.4,22.35,0.66,29.49,34.24,10,20,5,Normal
19,5.53,5.94,11.62,0.35,10.64,8.35,10,21,5,Normal
68,16.04,72.6,69.54,6.33,70.77,87.48,10,22,5,High
31,10.75,57.44,41.86,1.5,58.03,70.33,10,23,5,Moderate
21,2.68,26.95,18.19,0.34,25.56,28.69,10,24,5,Normal
5,6.02,15.76,21.31,0.0,12.05,24.16,10,25,5,Normal
19,4.37,30.2,9.2,0.03,24.96,36.62,10,26,5,Normal
17,4.89,31.03,10.85,0.15,31.67,33.89,10,27,5,Normal
35,4.19,8.25,12.82,0.62,13.57,9.74,10,28,5,Normal
10,2.68,21.73,13.94,0.1,20.53,21.86,10,29,5,Normal
30,11.1,25.84,30.96,1.32,29.04,35.12,10,30,5,Moderate
124,24.39,106.01,153.59,2.56,100.0,129.1,10,31,5,High
14,2.59,29.26,16.28,0.15,25.27,32.19,10,32,5,Normal
76,11.82,48.75,46.98,2.44,50.3,61.05,10,33,5,Moderate
11,4.53,28.37,16.16,0.33,24.74,36.29,10,34,5,Normal
51,3.53,61.24,61.26,3.42,54.32,65.75,10,35,5,Moderate
28,4.5,22.25,13.28,0.23,20.75,27.14,10,36,5,Normal
74,6.2,42.32,63.86,2.49,42.37,48.99,10,37,5,Moderate
40,14.52,56.7,56.63,1.52,58.45,75.65,10,38,5,Moderate
71,15.17,44.01,61.78,0.74,49.13,61.42,10,39,5,Moderate
7,6.25,31.51,10.41,0.74,31.45,39.08,10,40,5,Normal
103,25.12,101.08,144.02,5.35,100.0,127.36,10,41,5,High
27,5.26,15.68,17.58,0.0,18.58,18.0,10,42,5,Normal
20,5.41,1.18,15.13,0.63,6.82,5.61,10,43,5,Normal
37,16.68,53.36,51.06,2.9,58.96,68.06,10,44,5,Moderate
5,6.32,29.38,29.5,0.11,27.76,32.94,10,45,5,Normal
28,13.51,57.98,41.16,2.69,61.89,69.04,10,46,5,Moderate
59,14.83,86.29,66.75,1.56,83.06,97.5,10,47,5,Moderate
17,8.44,10.42,19.64,0.39,15.38,18.25,10,48,5,Normal
126,23.77,93.57,163.57,6.51,94.98,116.66,10,49,5,High
28,5.11,19.91,10.28,0.29,16.54,25.13,10,50,5,Normal
12,5.81,14.68,20.32,0.01,19.12,20.81,10,51,5,Normal
15,4.06,21.24,14.22,0.42,22.34,25.69,10,52,5,Normal
144,29.73,83.58,148.31,8.96,92.82,115.06,10,53,5,High
20,5.51,34.35,7.71,0.12,32.66,41.41,10,54,5,Normal
7,7.8,17.9,11.72,0.1,22.2,26.13,10,55,5,Normal
31,5.4,29.29,20.94,0.24,29.12,34.81,10,56,5,Normal
68,29.41,84.58,164.43,7.11,95.13,112.37,10,57,5,High
97,39.45,84.32,126.67,8.06,100.0,125.9,10,58,5,High
55,11.11,80.05,62.86,1.28,76.47,90.46,10,59,5,Moderate
113,32.81,85.83,141.68,6.17,99.66,124.05,11,0,5,High
79,19.14,73.37,112.01,9.34,77.34,91.78,11,1,5,High
14,3.31,27.85,11.55,0.36,26.63,32.36,11,2,5,Normal
13,6.35,15.52,13.54,0.17,20.84,19.99,11,3,5,Normal
40,19.24,59.26,100.19,0.46,64.18,77.02,11,4,5,Moderate
54,7.61,41.79,53.51,0.91,41.27,50.07,11,5,5,Moderate
19,6.21,26.06,15.76,0.83,23.16,32.74,11,6,5,Normal
26,1.52,13.98,18.1,0.27,16.94,14.56,11,7,5,Normal
78,8.34,60.71,43.01,2.03,53.84,69.4,11,8,5,Moderate
21,5.03,20.56,16.71,0.1,20.97,24.51,11,9,5,Normal
66,31.57,89.26,134.7,5.86,100.0,121.7,11,10,5,High
16,6.58,18.53,23.88,0.62,19.19,28.66,11,11,5,Normal
5,4.8,22.09,14.1,0.0,20.88,27.08,11,12,5,Normal
32,9.03,53.03,41.51,2.21,52.88,62.36,11,13,5,Moderate
9,5.97,24.22,11.53,0.0,23.31,33.35,11,14,5,Normal
31,4.92,13.65,17.46,0.07,17.93,17.96,11,15,5,Normal
35,17.71,35.28,65.38,1.44,42.67,49.82,11,16,5,Moderate
125,32.16,81.34,108.72,6.79,89.82,114.85,11,17,5,High
32,5.66,12.54,19.48,0.57,10.42,19.31,11,18,5,Normal
18,5.28,15.72,16.83,0.42,18.72,22.58,11,19,5,Normal
31,10.72,29.84,64.25,1.02,35.62,41.83,11,20,5,Moderate
130,2.55,83.52,100.27,11.72,67.76,84.98,11,21,5,High
30,7.21,22.11,19.66,0.41,25.83,30.04,11,22,5,Normal
22,6.94,40.22,8.52,0.41,41.71,49.44,11,23,5,Normal
34,6.86,31.32,33.44,0.11,31.2,37.16,11,24,5,Normal
13,3.22,18.08,1.42,0.19,16.76,22.04,11,25,5,Normal
32,7.58,22.11,19.57,0.51,27.48,30.25,11,26,5,Normal
54,15.48,52.67,63.49,1.74,61.26,68.96,11,27,5,Moderate
15,7.52,25.36,24.84,0.3,28.43,28.1,11,28,5,Normal
21,7.94,4.24,19.02,0.55,7.05,10.38,11,29,5,Normal
51,10.54,51.6,59.27,4.49,53.88,63.81,11,30,5,Moderate
34,20.4,62.13,55.15,0.15,70.39,82.15,11,31,5,Moderate
11,3.62,20.59,27.01,0.49,21.41,25.51,11,32,5,Normal
85,13.99,51.55,40.22,0.03,55.27,65.84,11,33,5,Moderate
78,20.85,70.86,43.03,1.68,81.49,92.67,11,34,5,Moderate
45,18.6,69.76,52.18,1.21,71.43,89.94,11,35,5,Moderate
8,8.19,21.08,15.87,0.0,22.99,30.28,11,36,5,Normal
11,4.83,22.34,16.36,0.5,21.61,24.1,11,37,5,Normal
144,12.74,74.63,168.4,9.81,68.89,87.28,11,38,5,High
26,1.68,27.65,19.85,0.08,23.56,27.01,11,39,5,Normal
19,6.18,16.85,15.32,0.55,17.79,23.59,11,40,5,Normal
17,1.71,15.07,19.74,0.21,12.91,12.03,11,41,5,Normal
45,4.49,70.91,36.38,3.0,61.34,78.11,11,42,5,Moderate
72,28.31,74.41,63.55,2.35,88.71,102.17,11,43,5,High
15,7.27,22.81,30.64,0.16,28.71,30.04,11,44,5,Normal
69,31.19,63.73,109.36,7.26,77.19,94.44,11,45,5,High
22,3.03,8.59,19.66,0.55,9.83,11.37,11,46,5,Normal
31,8.14,58.85,69.1,2.74,55.08,72.2,11,47,5,Moderate
63,17.1,61.23,49.97,1.64,63.61,79.41,11,48,5,Moderate
26,5.18,18.72,23.98,0.15,16.08,20.21,11,49,5,Normal
26,4.69,11.49,10.87,0.12,12.61,14.64,11,50,5,Normal
12,6.32,32.58,18.1,0.18,33.08,38.04,11,51,5,Normal
69,24.26,71.11,73.89,7.53,78.91,96.89,11,52,5,High
80,8.59,73.8,61.26,1.97,68.43,82.19,11,53,5,Moderate
92,33.64,92.18,144.92,9.04,100.0,124.42,11,54,5,High
55,18.45,42.86,91.16,1.89,50.0,56.92,11,55,5,Moderate
22,5.5,26.42,24.05,0.42,28.44,34.36,11,56,5,Normal
67,14.79,70.26,71.58,1.72,74.29,83.85,11,57,5,Moderate
19,5.25,28.44,14.48,0.3,29.18,36.56,11,58,5,Normal
25,4.57,8.31,28.69,0.25,14.52,9.28,11,59,5,Normal
69,11.14,51.16,74.24,1.51,53.0,64.6,12,0,5,Moderate
36,13.73,54.94,55.38,2.94,53.98,66.93,12,1,5,Moderate
16,5.96,27.05,20.45,0.22,27.42,34.59,12,2,5,Normal
17,4.38,18.1,30.12,0.0,15.37,23.48,12,3,5,Normal
43,2.57,46.8,63.84,1.66,42.82,45.17,12,4,5,Moderate
141,34.43,99.22,157.56,7.12,100.0,136.31,12,5,5,High
60,14.01,40.7,64.59,0.37,50.14,55.65,12,6,5,Moderate
33,7.95,27.12,19.1,0.28,27.59,35.83,12,7,5,Normal
12,7.74,32.13,12.05,0.54,33.91,39.7,12,8,5,Normal
19,6.99,25.68,18.5,0.65,28.47,33.29,12,9,5,Normal
35,15.35,77.9,68.69,0.55,80.19,91.61,12,10,5,Moderate
137,10.6,85.44,181.34,5.64,79.86,98.87,12,11,5,High
33,3.21,31.43,12.04,0.25,26.2,36.29,12,12,5,Normal
17,6.65,8.66,14.38,0.2,11.39,11.59,12,13,5,Normal
12,3.46,29.44,27.94,0.13,30.49,31.53,12,14,5,Normal
55,10.24,54.54,55.67,3.22,52.35,67.71,12,15,5,Moderate
35,8.07,53.08,57.16,2.0,53.37,63.43,12,16,5,Moderate
12,4.57,19.37,21.99,0.15,19.77,25.12,12,17,5,Normal
27,7.89,14.35,17.06,0.71,19.12,21.21,12,18,5,Normal
74,7.71,80.71,29.53,3.16,73.65,86.77,12,19,5,Moderate
21,3.1,24.15,16.92,0.41,21.3,25.23,12,20,5,Normal
85,5.86,47.83,51.66,2.11,44.2,52.89,12,21,5,Moderate
32,6.38,16.75,26.62,0.18,18.8,24.11,12,22,5,Normal
5,8.13,24.92,21.05,0.0,30.01,33.96,12,23,5,Normal
83,19.17,93.95,93.01,7.35,93.78,109.6,12,24,5,High
28,1.18,32.29,10.32,0.04,27.16,33.35,12,25,5,Normal
33,5.99,29.63,18.87,0.4,31.4,33.9,12,26,5,Normal
31,6.67,13.1,25.12,0.35,17.28,19.42,12,27,5,Normal
30,4.77,24.42,17.7,0.48,22.05,29.04,12,28,5,Normal
35,5.14,20.87,18.69,0.34,19.5,28.08,12,29,5,Normal
7,1.53,32.32,19.08,0.15,26.4,33.11,12,30,5,Normal
24,8.68,20.64,10.41,0.01,27.89,26.72,12,31,5,Normal
7,4.19,21.79,12.33,0.24,24.44,30.91,12,32,5,Normal
60,16.24,41.76,45.53,0.4,50.66,60.04,12,33,5,Moderate
73,12.17,46.36,69.25,2.35,45.53,57.74,12,34,5,Moderate
10,7.16,22.91,10.81,0.46,26.56,30.73,12,35,5,Normal
23,1.77,16.44,14.8,0.52,13.79,17.13,12,36,5,Normal
6,8.51,7.43,22.95,0.49,14.43,17.87,12,37,5,Normal
95,21.01,80.03,237.22,8.39,85.13,100.11,12,38,5,High
120,34.53,69.87,121.86,8.25,87.77,106.53,12,39,5,High
7,4.89,22.09,14.54,0.19,22.26,29.93,12,40,5,Normal
28,3.97,15.71,24.6,0.47,15.89,20.8,12,41,5,Normal
11,4.48,16.85,23.82,0.52,16.07,19.37,12,42,5,Normal
14,8.45,22.87,6.51,0.37,24.83,28.57,12,43,5,Normal
32,10.33,46.95,58.11,1.52,49.3,54.36,12,44,5,Moderate
13,6.69,28.02,8.76,0.37,26.86,36.06,12,45,5,Normal
26,8.68,21.07,29.55,0.0,22.96,34.74,12,46,5,Normal
8,6.94,29.85,12.03,0.42,31.76,36.57,12,47,5,Normal
14,5.15,31.57,16.99,0.57,32.06,37.88,12,48,5,Normal
9,2.91,16.68,14.59,0.14,18.28,21.17,12,49,5,Normal
45,19.84,69.17,61.65,1.26,74.06,92.16,12,50,5,Moderate
9,4.32,23.01,12.66,0.0,21.21,28.6,12,51,5,Normal
105,15.2,68.97,162.85,10.82,71.28,84.29,12,52,5,High
16,3.64,7.25,11.56,0.0,4.59,11.13,12,53,5,Normal
75,8.84,45.55,63.95,2.28,46.84,56.18,12,54,5,Moderate
84,23.99,95.69,155.62,8.28,98.94,119.96,12,55,5,High
133,26.95,72.19,141.71,5.34,80.2,97.82,12,56,5,High
56,13.39,63.75,45.06,2.73,61.47,76.02,12,57,5,Moderate
85,10.96,45.55,58.62,3.03,44.69,56.55,12,58,5,Moderate
36,10.58,58.53,86.32,2.0,58.3,64.63,12,59,5,Moderate
70,22.15,70.91,42.7,2.82,78.0,91.62,13,0,5,Moderate
8,3.71,11.82,13.94,0.52,13.49,17.13,13,1,5,Normal
6,3.51,19.51,23.22,0.59,17.67,25.13,13,2,5,Normal
19,1.47,0.1,26.53,0.2,4.59,0.1,13,3,5,Normal
93,21.95,82.29,140.38,7.57,87.71,107.44,13,4,5,High
7,7.34,27.81,10.98,0.49,24.26,34.56,13,5,5,Normal
23,6.06,13.86,18.68,0.35,14.06,23.82,13,6,5,Normal
53,14.52,51.67,46.96,2.03,57.98,62.99,13,7,5,Moderate
8,4.94,38.25,24.17,0.29,34.82,43.12,13,8,5,Normal
26,5.64,22.95,13.29,0.27,28.42,27.37,13,9,5,Normal
11,4.61,34.36,19.56,0.0,32.9,38.08,13,10,5,Normal
32,5.44,34.69,26.3,0.46,33.33,43.39,13,11,5,Normal
14,3.47,18.12,10.74,0.88,17.32,23.22,13,12,5,Normal
16,6.38,31.99,29.8,0.0,31.05,37.84,13,13,5,Normal
5,4.46,30.48,22.44,0.89,28.28,34.24,13,14,5,Normal
23,6.97,22.95,14.6,0.14,25.69,32.04,13,15,5,Normal
17,0.91,17.75,10.65,0.68,14.03,19.46,13,16,5,Normal
78,13.07,49.96,69.04,0.78,53.06,61.34,13,17,5,Moderate
14,2.54,26.57,20.14,0.57,24.54,30.09,13,18,5,Normal
120,18.16,80.85,142.48,10.15,80.72,98.77,13,19,5,High
130,21.39,84.41,161.99,8.31,91.01,107.57,13,20,5,High
25,3.13,29.97,12.58,0.28,25.31,32.2,13,21,5,Normal
8,3.66,18.2,16.11,0.59,23.16,22.26,13,22,5,Normal
18,4.42,23.36,18.02,0.36,27.31,28.65,13,23,5,Normal
29,14.04,62.31,34.43,2.69,61.91,78.88,13,24,5,Moderate
28,4.37,51.89,39.12,2.94,44.67,55.33,13,25,5,Moderate
27,10.65,45.73,69.09,0.95,47.29,54.57,13,26,5,Moderate
7,7.48,29.76,14.01,0.53,34.68,35.66,13,27,5,Normal
73,9.72,67.94,88.2,2.53,63.67,75.63,13,28,5,Moderate
23,7.11,28.25,17.58,0.31,29.73,36.87,13,29,5,Normal
74,14.18,42.24,76.23,3.45,47.59,57.98,13,30,5,Moderate
20,3.67,27.99,17.08,0.09,27.05,29.16,13,31,5,Normal
71,15.73,60.25,61.64,2.5,64.14,75.9,13,32,5,Moderate
98,26.59,73.29,168.39,5.33,81.98,99.98,13,33,5,High
11,7.53,13.0,24.39,0.43,16.73,24.48,13,34,5,Normal
31,11.86,88.38,61.83,1.64,85.21,100.99,13,35,5,Moderate
6,5.48,36.21,19.62,0.07,34.48,42.53,13,36,5,Normal
71,9.12,44.7,98.08,1.76,43.45,50.9,13,37,5,Moderate
5,6.11,26.37,22.06,0.14,25.32,33.16,13,38,5,Normal
76,17.58,74.56,103.41,9.66,78.74,93.52,13,39,5,High
23,1.48,28.21,23.18,0.34,25.5,30.95,13,40,5,Normal
140,13.51,70.16,120.08,8.41,66.99,85.05,13,41,5,High
34,11.21,43.32,37.57,0.72,45.62,52.89,13,42,5,Moderate
67,12.42,37.83,73.88,0.83,43.93,49.84,13,43,5,Moderate
59,18.82,45.12,53.41,2.99,52.59,64.79,13,44,5,Moderate
67,14.6,57.76,73.31,1.51,60.18,72.44,13,45,5,Moderate
76,31.12,69.7,161.32,3.71,88.48,103.23,13,46,5,High
18,7.85,30.01,18.51,0.0,32.07,34.18,13,47,5,Normal
33,12.69,41.03,67.23,0.69,47.78,52.81,13,48,5,Moderate
34,6.74,13.4,15.09,0.44,18.26,22.33,13,49,5,Normal
54,18.57,38.18,45.21,2.23,48.26,57.27,13,50,5,Moderate
6,3.31,24.7,9.9,0.52,25.64,28.38,13,51,5,Normal
79,17.83,35.14,52.44,2.31,47.43,51.67,13,52,5,Moderate
55,11.31,41.48,59.61,1.02,47.22,53.46,13,53,5,Moderate
27,0.1,25.16,17.77,0.22,23.21,23.62,13,54,5,Normal
30,4.65,19.39,15.74,0.0,21.95,21.77,13,55,5,Normal
37,11.0,42.8,84.15,2.69,47.45,52.69,13,56,5,Moderate
55,18.05,43.11,37.62,2.97,48.91,60.35,13,57,5,Moderate
15,4.01,24.22,21.32,0.15,24.41,29.47,13,58,5,Normal
64,10.79,51.27,60.27,2.5,53.6,66.19,13,59,5,Moderate
67,27.61,119.06,161.96,8.76,100.0,144.66,14,0,5,High
13,6.3,17.95,16.95,0.33,21.93,26.42,14,1,5,Normal
25,7.27,16.64,22.64,0.0,20.26,23.28,14,2,5,Normal
5,6.82,28.23,19.7,0.45,27.86,35.18,14,3,5,Normal
50,12.83,52.23,29.72,1.64,53.65,65.17,14,4,5,Moderate
20,5.98,20.03,11.53,0.0,23.2,25.31,14,5,5,Normal
28,5.66,61.39,54.51,2.23,56.95,67.4,14,6,5,Moderate
76,13.32,41.0,64.3,2.74,44.58,52.71,14,7,5,Moderate
32,3.95,17.03,11.88,0.34,12.96,20.87,14,8,5,Normal
149,17.5,84.59,162.0,3.8,84.51,102.15,14,9,5,High
26,11.72,53.5,34.96,0.67,54.33,64.05,14,10,5,Moderate
26,6.25,17.13,16.32,0.06,19.94,22.83,14,11,5,Normal
7,3.66,37.03,17.56,0.41,32.91,40.64,14,12,5,Normal
29,3.98,9.61,11.56,0.0,9.23,11.99,14,13,5,Normal
29,3.19,26.81,16.44,0.0,25.8,29.01,14,14,5,Normal
22,3.57,28.6,24.31,0.0,28.23,29.68,14,15,5,Normal
82,35.7,77.6,162.27,6.9,90.37,108.91,14,16,5,High
28,4.28,23.04,11.36,0.32,24.65,27.55,14,17,5,Normal
32,5.02,31.83,17.31,0.57,36.33,34.89,14,18,5,Normal
50,14.9,56.5,65.88,3.69,56.3,72.99,14,19,5,Moderate
39,13.54,47.91,38.81,2.47,51.4,60.14,14,20,5,Moderate
148,37.48,78.59,214.38,7.12,95.97,116.19,14,21,5,High
66,10.89,48.05,72.68,1.52,45.96,58.87,14,22,5,Moderate
8,8.88,27.63,22.33,0.67,30.9,34.82,14,23,5,Normal
